lad_code,lad_name,first_year,last_year,n_years,jti_first,jti_last,jti_delta,trend_label,component_emissions_last,component_transport_last,component_deprivation_last,jti_last_percentile,component_emissions_percentile,component_transport_percentile,component_deprivation_percentile,jti_last_rank,component_emissions_rank,component_transport_rank,component_deprivation_rank,priority_group,cluster_id,cluster_label
E07000110,Maidstone,2005,2023,19,57.9101284172269,30.484349141302417,-27.425779275924484,Worsening,12.696901157853414,20.846017848826932,57.9101284172269,65.40880503144653,42.138364779874216,64.46540880503144,60.89965397923876,111,185,114,114,High Priority,1.0,Emerging Improvers
E07000111,Sevenoaks,2005,2023,19,70.131735235345,42.315062244780584,-27.81667299056442,Worsening,13.313676669174878,43.499774829821874,70.131735235345,94.33962264150944,54.71698113207547,98.11320754716981,79.23875432525952,19,145,7,61,High Priority,1.0,Emerging Improvers
E07000112,Folkestone and Hythe,2005,2023,19,32.546436924803906,20.90258206773719,-11.643854857066717,Worsening,12.622912651525194,17.538396626882474,32.546436924803906,36.477987421383645,41.19496855345912,49.37106918238994,27.33564013840831,203,188,162,211,High Priority,4.0,Transition Laggards
E07000113,Swale,2005,2023,19,29.658608919098235,21.62380676738825,-8.034802151709986,Worsening,13.614677872496326,21.5981335105702,29.658608919098235,40.88050314465409,63.83647798742138,68.86792452830188,23.18339100346021,189,116,100,223,High Priority,4.0,Transition Laggards
E07000114,Thanet,2005,2023,19,22.494406738501375,13.63854344927624,-8.855863289225136,Worsening,10.011942150079769,8.409281459247573,22.494406738501375,9.433962264150944,3.459119496855346,15.723270440251572,13.148788927335639,289,308,269,252,High Priority,2.0,Stable Mid-Performers
E07000115,Tonbridge and Malling,2005,2023,19,68.63765915910898,36.834195080690414,-31.803464078418564,Worsening,13.204338411304459,28.660587671657794,68.63765915910898,83.01886792452831,52.20125786163522,84.27672955974843,77.16262975778547,55,153,51,67,High Priority,1.0,Emerging Improvers
E07000116,Tunbridge Wells,2005,2023,19,74.86008722058669,33.14150443062946,-41.71858278995723,Worsening,10.766204177560258,13.79822189374142,74.86008722058669,72.32704402515722,8.80503144654088,36.79245283018868,86.159169550173,89,291,202,41,High Priority,0.0,Transition Leaders
E07000117,Burnley,2005,2023,19,12.121299782957024,12.803556642597334,0.6822568596403098,Improving,13.165773310737219,13.123596834097754,12.121299782957024,7.232704402515723,50.314465408805034,34.276729559748425,4.1522491349480966,296,159,210,278,High Priority,4.0,Transition Laggards
E07000118,Chorley,2005,2023,19,58.05946058206018,33.808662435030186,-24.250798147029997,Worsening,14.295691355281438,29.07083536774893,58.05946058206018,73.89937106918238,81.13207547169812,85.22012578616352,61.5916955017301,84,61,48,112,High Priority,1.0,Emerging Improvers
E07000119,Fylde,2005,2023,19,58.36642204516484,31.047803584859945,-27.318618460304894,Worsening,14.591271408658837,20.185717300756153,58.36642204516484,66.66666666666666,86.79245283018868,63.20754716981132,62.28373702422145,107,43,118,110,High Priority,1.0,Emerging Improvers
E07000120,Hyndburn,2005,2023,19,16.387363091310377,15.576907566361308,-0.8104555249490684,Worsening,13.884389278483479,16.45897032929007,16.387363091310377,13.836477987421384,72.0125786163522,44.339622641509436,5.88235294117647,275,90,178,273,High Priority,4.0,Transition Laggards
E07000121,Lancaster,2005,2023,19,38.04802651099034,25.51649251528043,-12.53153399570991,Worsening,15.026081268000741,23.47536976685021,38.04802651099034,51.57232704402516,89.937106918239,73.58490566037736,34.602076124567475,155,33,85,190,High Priority,4.0,Transition Laggards
E07000122,Pendle,2005,2023,19,22.214033917802396,16.053890772760678,-6.160143145041719,Worsening,13.268642624344341,12.678995776135292,22.214033917802396,16.352201257861633,53.77358490566038,31.761006289308174,12.802768166089965,267,148,218,253,High Priority,4.0,Transition Laggards
E07000123,Preston,2005,2023,19,25.841827308751327,19.253201295147676,-6.588626013603651,Worsening,13.838428888546812,18.07934768814489,25.841827308751327,28.61635220125786,70.44025157232704,52.83018867924528,16.955017301038062,228,95,151,241,High Priority,4.0,Transition Laggards
E07000124,Ribble Valley,2005,2023,19,79.06349359447188,38.60814471648549,-40.45534887798639,Worsening,17.11428750139687,19.64665305358772,79.06349359447188,85.53459119496856,98.11320754716981,60.691823899371066,88.92733564013841,47,7,126,33,High Priority,1.0,Emerging Improvers
E07000125,Rossendale,2005,2023,19,31.77202912512753,20.37497235734426,-11.397056767783273,Worsening,12.071363413205447,17.2815245336998,31.77202912512753,33.9622641509434,27.358490566037734,47.79874213836478,26.297577854671278,211,232,167,214,High Priority,4.0,Transition Laggards
E07000126,South Ribble,2005,2023,19,60.910763977555135,32.093811641822434,-28.8169523357327,Worsening,14.184918709341748,21.18575223857042,60.910763977555135,69.18238993710692,80.18867924528303,66.35220125786164,66.08996539792388,99,64,108,99,High Priority,1.0,Emerging Improvers
E07000127,West Lancashire,2005,2023,19,54.56327951535849,29.20114363787644,-25.362135877482046,Worsening,15.478921674318496,17.561229723952337,54.56327951535849,63.20754716981132,93.08176100628931,49.685534591194966,56.40138408304498,118,23,161,127,High Priority,1.0,Emerging Improvers
E07000128,Wyre,2005,2023,19,45.25270076883221,26.069321167765562,-19.18337960106665,Worsening,14.927368218528283,18.02789451593619,45.25270076883221,54.40251572327044,89.30817610062893,52.20125786163522,44.982698961937714,146,35,153,160,High Priority,4.0,Transition Laggards
E07000129,Blaby,2005,2023,19,76.07164489649642,41.30333648788702,-34.7683084086094,Worsening,14.434982025926846,33.403382541237804,76.07164489649642,91.50943396226415,85.84905660377359,89.62264150943396,88.23529411764706,28,46,34,35,High Priority,1.0,Emerging Improvers
E07000130,Charnwood,2005,2023,19,69.14734008017949,33.376732428942,-35.77060765123749,Worsening,12.98311000631995,17.99974720032656,69.14734008017949,72.95597484276729,48.113207547169814,51.57232704402516,77.50865051903114,87,166,155,66,High Priority,0.0,Transition Leaders
E07000131,Harborough,2005,2023,19,89.18603026589058,45.7080170110971,-43.47801325479348,Worsening,13.784607245332406,34.15341352206831,89.18603026589058,98.42767295597484,68.55345911949685,90.88050314465409,97.57785467128028,6,101,30,8,High Priority,0.0,Transition Leaders
E07000132,Hinckley and Bosworth,2005,2023,19,66.74173289789269,35.508105945330904,-31.233626952561785,Worsening,14.021572616539917,25.761012321560106,66.74173289789269,79.87421383647799,76.10062893081762,78.61635220125787,73.70242214532871,65,77,69,77,High Priority,1.0,Emerging Improvers
E07000133,Melton,2005,2023,19,70.1508823130815,34.859179905543336,-35.29170240753816,Worsening,12.488405644206754,21.938251759341746,70.1508823130815,77.9874213836478,36.477987421383645,69.81132075471697,79.58477508650519,71,203,97,60,High Priority,0.0,Transition Leaders
E07000134,North West Leicestershire,2005,2023,19,62.35189242185059,40.51602781314578,-21.83586460870481,Worsening,14.385646504295035,44.81054451329172,62.35189242185059,89.62264150943396,84.59119496855347,98.74213836477988,68.16608996539793,34,50,5,93,High Priority,1.0,Emerging Improvers
E07000135,Oadby and Wigston,2005,2023,19,69.51139941498174,28.978221257171967,-40.53317815780977,Worsening,9.862361698691025,7.560902657843141,69.51139941498174,62.57861635220125,2.20125786163522,13.20754716981132,78.20069204152249,120,312,277,64,High Priority,3.0,High-Deprivation Barriers
E07000136,Boston,2005,2023,19,33.28655600413453,21.122095197680967,-12.164460806453565,Worsening,13.181975952667667,16.897753636240704,33.28655600413453,37.735849056603776,50.943396226415096,46.22641509433962,28.027681660899656,199,157,172,209,High Priority,4.0,Transition Laggards
E07000137,East Lindsey,2005,2023,19,21.238631636248634,18.553266421011966,-2.6853652152366685,Worsening,14.135824184152373,20.285343442634897,21.238631636248634,25.471698113207548,79.55974842767296,63.52201257861635,10.726643598615917,238,66,117,259,High Priority,4.0,Transition Laggards
E07000138,Lincoln,2005,2023,19,28.872844447115327,15.519399773849601,-13.353444673265725,Worsening,12.052265420862462,5.633089453571019,28.872844447115327,13.522012578616351,26.41509433962264,5.345911949685535,22.491349480968857,276,235,302,225,High Priority,2.0,Stable Mid-Performers
E07000139,North Kesteven,2005,2023,19,73.87008256598932,36.290658312703705,-37.579424253285616,Worsening,13.996813635779457,21.005078736342348,73.87008256598932,82.0754716981132,75.47169811320755,65.09433962264151,84.77508650519032,58,79,112,45,High Priority,1.0,Emerging Improvers
E07000140,South Holland,2005,2023,19,46.373577291204285,26.69479072362073,-19.678786567583554,Worsening,13.68374124132978,20.027053638328123,46.373577291204285,55.660377358490564,66.98113207547169,62.264150943396224,46.71280276816609,142,106,121,155,High Priority,1.0,Emerging Improvers
E07000141,South Kesteven,2005,2023,19,68.44709078281119,35.26855865107942,-33.17853213173177,Worsening,13.623876737033147,23.734708433393923,68.44709078281119,78.9308176100629,64.77987421383648,74.21383647798741,76.47058823529412,68,113,83,69,High Priority,1.0,Emerging Improvers
E07000142,West Lindsey,2005,2023,19,46.836821663835934,27.80422010723373,-19.032601556602206,Worsening,13.566014138087272,23.00982451977798,46.836821663835934,59.74842767295597,62.264150943396224,72.32704402515722,47.05882352941176,129,121,89,154,High Priority,1.0,Emerging Improvers
E07000143,Breckland,2005,2023,19,42.86596972925474,27.831754274965757,-15.034215454288987,Worsening,13.907912267223143,26.721380828419377,42.86596972925474,60.062893081761004,72.32704402515722,81.76100628930818,39.792387543252595,128,89,59,175,High Priority,1.0,Emerging Improvers
E07000144,Broadland,2005,2023,19,72.18769826821715,34.01535510777129,-38.172343160445855,Worsening,12.96774068983009,16.890626365266648,72.18769826821715,74.52830188679245,47.16981132075472,45.911949685534594,82.00692041522491,82,169,173,53,High Priority,0.0,Transition Leaders
E07000145,Great Yarmouth,2005,2023,19,18.178961384727934,13.210504189960758,-4.968457194767176,Worsening,11.290121623310945,10.1624295618434,18.178961384727934,7.861635220125786,18.553459119496853,22.32704402515723,7.612456747404845,294,260,248,268,High Priority,2.0,Stable Mid-Performers
E07000146,King's Lynn and West Norfolk,2005,2023,19,31.912694535776602,23.95864976957921,-7.954044766197391,Worsening,15.31257952470516,24.650675248255858,31.912694535776602,47.48427672955975,92.13836477987421,75.78616352201259,26.643598615916954,168,26,78,213,High Priority,4.0,Transition Laggards
